R_Event_Name,R_Start_Date,R_End_Date,R_Event_Type,R_Program_Name,R_Contact_Email,R_Congregation_ID,Location_ID,Group_Name,Registration_Start_Date,Registration_End_Date,Online_Registration_Product_Name,,
(t+auto) GO Bedrock 2018,1/1/2018,12/25/2018,GO Trips,(t+auto) GO Bedrock 2018,mpcrds+chell@aperture.com,5,,(t+auto) GO Bedrock 2018 (Trip Participants),,,,,
(t) GO Midgar 2018,12/25/2018,12/31/2018,GO Trips,(t) GO Midgar 2018,mpcrds+chell@aperture.com,5,,(t) GO Midgar 2018 (Trip Participants),,,,,Creates an Event and adds it to a Group if specified
(t) Superbowl Oakley 10:00,12/22/2017 10:00,12/22/2017 11:00,(t) Superbowl Oakley daily 10:00,Kids Club,mpcrds+chell@aperture.com,1,3,(t) Superbowl Oakley Group,,,,,All fields are required except Location_ID and Group_Name
(t) Superbowl Oakley 10:00,12/23/2017 10:00,12/23/2017 11:00,(t) Superbowl Oakley daily 10:00,Kids Club,mpcrds+chell@aperture.com,1,3,(t) Superbowl Oakley Group,,,,,
(t) Superbowl Oakley 10:00,12/24/2017 10:00,12/24/2017 11:00,(t) Superbowl Oakley daily 10:00,Kids Club,mpcrds+chell@aperture.com,1,3,(t) Superbowl Oakley Group,,,,,Dependencies:
(t) Superbowl Oakley 10:00,12/25/2017 10:00,12/25/2017 11:00,(t) Superbowl Oakley daily 10:00,Kids Club,mpcrds+chell@aperture.com,1,3,(t) Superbowl Oakley Group,,,,,"Program, Group (if given)"
(t) Superbowl Oakley 10:00,12/26/2017 10:00,12/26/2017 11:00,(t) Superbowl Oakley daily 10:00,Kids Club,mpcrds+chell@aperture.com,1,3,(t) Superbowl Oakley Group,,,,,
(t) Superbowl Oakley 10:00,12/27/2017 10:00,12/27/2017 11:00,(t) Superbowl Oakley daily 10:00,Kids Club,mpcrds+chell@aperture.com,1,3,(t) Superbowl Oakley Group,,,,,
(t) Superbowl Oakley 3:00,12/22/2017 15:00,12/22/2017 16:00,(t) Superbowl Oakley daily 3:00,Kids Club,mpcrds+chell@aperture.com,1,3,(t) Superbowl Oakley Group,,,,,
(t) Superbowl Oakley 3:00,12/23/2017 15:00,12/23/2017 16:00,(t) Superbowl Oakley daily 3:00,Kids Club,mpcrds+chell@aperture.com,1,3,(t) Superbowl Oakley Group,,,,,
(t) Superbowl Oakley 3:00,12/24/2017 15:00,12/24/2017 16:00,(t) Superbowl Oakley daily 3:00,Kids Club,mpcrds+chell@aperture.com,1,3,(t) Superbowl Oakley Group,,,,,
(t) Superbowl Oakley 3:00,12/25/2017 15:00,12/25/2017 16:00,(t) Superbowl Oakley daily 3:00,Kids Club,mpcrds+chell@aperture.com,1,3,(t) Superbowl Oakley Group,,,,,
(t) Superbowl Oakley 3:00,12/26/2017 15:00,12/26/2017 16:00,(t) Superbowl Oakley daily 3:00,Kids Club,mpcrds+chell@aperture.com,1,3,(t) Superbowl Oakley Group,,,,,
(t) Superbowl Oakley 3:00,12/27/2017 15:00,12/27/2017 16:00,(t) Superbowl Oakley daily 3:00,Kids Club,mpcrds+chell@aperture.com,1,3,(t) Superbowl Oakley Group,,,,,
(t) Kids Club Oakley 11:00,12/22/2017 11:00,12/22/2017 12:00,(t) KC Nursery Oakley weekly 11:00,Kids Club,mpcrds+chell@aperture.com,1,3,(t) KidsClub Oakley Group,,,,,
(t) Kids Club Oakley 11:00,12/29/2017 11:00,12/29/2017 12:00,(t) KC Nursery Oakley weekly 11:00,Kids Club,mpcrds+chell@aperture.com,1,3,(t) KidsClub Oakley Group,,,,,
