R_Opportunity_Title,R_Contact_Email,R_Program_Name,R_Group_Role_ID,Shift_Sart,Shift_End,Minimum_Needed,Maximum_Needed,Room,Group_Name,Event_Type,Description,Publish_Date,Sign_Up_Deadline_ID,Opportunity_Subtitle
(t+auto) Attack Shinra Mako reactor 1,mpcrds+chell@aperture.com,First Impressions,16,14:00:00,16:00:00,1,250,Oakley Atrium,(t+auto) Avalanche,Service - Oakley Sunday at 9:15am,Test Data,11/27/2015,0,Attack Mako reactor 1
(t+auto) Attack Shinra Mako reactor 5,mpcrds+chell@aperture.com,First Impressions,16,16:00:00,18:00:00,1,250,Main Coffee Station Alpha,(t+auto) Avalanche,Service - Oakley Saturday at 4:30pm,Test Data,11/27/2015,0,Attack Mako reactor 5
(t) Coffee Setup Sat 2:00,mpcrds+chell@aperture.com,First Impressions,16,14:00:00,16:00:00,1,1,Oakley Atrium,(t) FI Oakley Coffee Team,Service - Oakley Saturday at 4:30pm,Test Data,10/27/2015,7,
(t) Coffee Team Sat 4:00,mpcrds+chell@aperture.com,First Impressions,16,16:00:00,18:00:00,1,1,Main Coffee Station Alpha,(t) FI Oakley Coffee Team,Service - Oakley Saturday at 4:30pm,Test Data,10/27/2015,7,
(t) Kindergarten K213 Sun 11:45,mpcrds+chell@aperture.com,MyServe KC Oakley,16,11:20:00,13:20:00,3,10,OAK KC Room 213,(t) KC Oakley Kindergarten,Service - Oakley Sunday at 11:45am,Test Data,10/27/2015,7,
(t) Kindergarten K213 Sun 10:05,mpcrds+chell@aperture.com,MyServe KC Oakley,16,9:40:00,11:20:00,3,10,OAK KC Room 213,(t) KC Oakley Kindergarten,Service - Oakley Sunday at 10:05am,Test Data,10/27/2015,7,
(t) Kindergarten K213 Sun 9:30,mpcrds+chell@aperture.com,MyServe KC Oakley,16,8:05:00,9:50:00,3,10,OAK KC Room 213,(t) KC Oakley Kindergarten,Service - Oakley Sunday at 9:30am,Test Data,10/27/2015,7,
(t) Kindergarten K213 Sat 4:30,mpcrds+chell@aperture.com,MyServe KC Oakley,16,16:05:00,17:50:00,3,10,OAK KC Room 213,(t) KC Oakley Kindergarten,Service - Oakley Saturday at 4:30pm,Test Data,10/27/2015,7,
(t) Kindergarten K213 Sat 6:15,mpcrds+chell@aperture.com,MyServe KC Oakley,16,17:50:00,19:30:00,3,10,OAK KC Room 213,(t) KC Oakley Kindergarten,Service - Oakley Saturday at 6:15pm,Test Data,10/27/2015,7,
(t) Nursery A K112 Sun 11:45,mpcrds+chell@aperture.com,MyServe KC Oakley,16,11:20:00,13:20:00,3,5,OAK KC Room 112,(t) KC Oakley Nursery,Service - Oakley Sunday at 11:45am,Test Data,10/27/2015,7,
(t) Nursery A K112 Sun 10:05,mpcrds+chell@aperture.com,MyServe KC Oakley,16,9:40:00,11:20:00,3,5,OAK KC Room 112,(t) KC Oakley Nursery,Service - Oakley Sunday at 10:05am,Test Data,10/27/2015,7,
(t) Nursery A K112 Sun 9:30,mpcrds+chell@aperture.com,MyServe KC Oakley,16,8:05:00,9:50:00,3,5,OAK KC Room 112,(t) KC Oakley Nursery,Service - Oakley Sunday at 9:30am,Test Data,10/27/2015,7,
(t) Nursery A K112 Sat 4:30,mpcrds+chell@aperture.com,MyServe KC Oakley,16,16:05:00,17:50:00,3,5,OAK KC Room 112,(t) KC Oakley Nursery,Service - Oakley Saturday at 4:30pm,Test Data,10/27/2015,7,
(t) Nursery A K112 Sat 6:15,mpcrds+chell@aperture.com,MyServe KC Oakley,16,17:50:00,19:30:00,3,5,OAK KC Room 112,(t) KC Oakley Nursery,Service - Oakley Saturday at 6:15pm,Test Data,10/27/2015,7,
(t) Nursery B K114 Sun 11:45,mpcrds+chell@aperture.com,MyServe KC Oakley,16,11:20:00,13:20:00,3,5,OAK KC Room 114,(t) KC Oakley Nursery,Service - Oakley Sunday at 11:45am,Test Data,10/27/2015,7,
(t) Nursery B K114 Sun 10:05,mpcrds+chell@aperture.com,MyServe KC Oakley,16,9:40:00,11:20:00,3,5,OAK KC Room 114,(t) KC Oakley Nursery,Service - Oakley Sunday at 10:05am,Test Data,10/27/2015,7,
(t) Nursery B K114 Sun 9:30,mpcrds+chell@aperture.com,MyServe KC Oakley,16,8:05:00,9:50:00,3,5,OAK KC Room 114,(t) KC Oakley Nursery,Service - Oakley Sunday at 9:30am,Test Data,10/27/2015,7,
(t) Nursery B K114 Sat 4:30,mpcrds+chell@aperture.com,MyServe KC Oakley,16,16:05:00,17:50:00,3,5,OAK KC Room 114,(t) KC Oakley Nursery,Service - Oakley Saturday at 4:30pm,Test Data,10/27/2015,7,
(t) Nursery B K114 Sat 6:15,mpcrds+chell@aperture.com,MyServe KC Oakley,16,17:50:00,19:30:00,3,5,OAK KC Room 114,(t) KC Oakley Nursery,Service - Oakley Saturday at 6:15pm,Test Data,10/27/2015,7,
(t) Nursery C K116 Sun 11:45,mpcrds+chell@aperture.com,MyServe KC Oakley,16,11:20:00,13:20:00,3,5,OAK KC Room 116,(t) KC Oakley Nursery,Service - Oakley Sunday at 11:45am,Test Data,10/27/2015,7,
(t) Nursery C K116 Sun 10:05,mpcrds+chell@aperture.com,MyServe KC Oakley,16,9:40:00,11:20:00,3,5,OAK KC Room 116,(t) KC Oakley Nursery,Service - Oakley Sunday at 10:05am,Test Data,10/27/2015,7,
(t) Nursery C K116 Sun 9:30,mpcrds+chell@aperture.com,MyServe KC Oakley,16,8:05:00,9:50:00,3,5,OAK KC Room 116,(t) KC Oakley Nursery,Service - Oakley Sunday at 9:30am,Test Data,10/27/2015,7,
(t) Nursery C K116 Sat 4:30,mpcrds+chell@aperture.com,MyServe KC Oakley,16,16:05:00,17:50:00,3,5,OAK KC Room 116,(t) KC Oakley Nursery,Service - Oakley Saturday at 4:30pm,Test Data,10/27/2015,7,
(t) Nursery C K116 Sat 6:15,mpcrds+chell@aperture.com,MyServe KC Oakley,16,17:50:00,19:30:00,3,5,OAK KC Room 116,(t) KC Oakley Nursery,Service - Oakley Saturday at 6:15pm,Test Data,10/27/2015,7,
(t) Nursery D K126 Sun 11:45,mpcrds+chell@aperture.com,MyServe KC Oakley,16,11:20:00,13:20:00,3,5,OAK KC Room 126,(t) KC Oakley Nursery,Service - Oakley Sunday at 11:45am,Test Data,10/27/2015,7,
(t) Nursery D K126 Sun 10:05,mpcrds+chell@aperture.com,MyServe KC Oakley,16,9:40:00,11:20:00,3,5,OAK KC Room 126,(t) KC Oakley Nursery,Service - Oakley Sunday at 10:05am,Test Data,10/27/2015,7,
